poop_vial_id,field_poop_vial_id,weight_observer,sample_extracted_if_two_samples,date_weighed,mass_extracted_.g.,mass_estimated.,hair_in_feces.,extraction_notes_.contaminants_removed.,other_extraction_notes,extra_fecal_sample.,duplicate_sample.,extracted.,date_of_extraction,extraaction_observer
4.59,,Mark Castaneda,,2018-06-07,0.053,,N,,,Y,,Y,2018-06-01,Mark Castaneda
4.5999999999999996,,Mark Castaneda,,2018-06-20,0.05,,N,,,Y,,Y,2018-07-01,Mark Castaneda
4.6,4.6,Mark Castaneda,,2018-06-20,0.05,,N,,,,,,,
4.62,,Mark Castaneda,,2018-06-01,0.049,,N,,,Y,,Y,2018-06-01,Mark Castaneda
4.63,4.63,Odessa Fung,,2019-01-15,0.05,,Y,,,,,,,
4.68,,Mark Castaneda,,2018-06-05,0.053,,N,,,Y,,Y,2018-06-01,Mark Castaneda
4.6900000000000004,,Mark Castaneda,,2018-06-19,0.052,,N,,,Y,,Y,2018-07-01,Mark Castaneda
4.7,,Mark Castaneda,,2018-06-18,0.053,,N,,,Y,,Y,2018-07-01,Mark Castaneda
4.72,,Mark Castaneda,,2018-06-05,0.052,,N,,,N,,Y,2018-06-01,Mark Castaneda
4.7300000000000004,,Mark Castaneda,,2018-06-18,0.051,,N,,,Y,,Y,2018-07-01,Mark Castaneda
4.74,,Mark Castaneda,,2018-06-05,0.052,,N,bracts removed,,Y,,Y,2018-06-01,Mark Castaneda
4.75,,Mark Castaneda,,2018-06-05,0.052,,N,,,Y,,Y,2018-06-01,Mark Castaneda
4.76,,Mark Castaneda,,2018-06-18,0.05,,N,,,Y,,Y,2018-07-01,Mark Castaneda
4.8099999999999996,,Mark Castaneda,,2018-06-07,0.049,,N,,,Y,,Y,2018-06-01,Mark Castaneda
4.82,,Mark Castaneda,,2018-06-04,0.052,,N,leaves removed,,Y,,Y,2018-06-01,Mark Castaneda
4.83,,Mark Castaneda,,2018-06-18,0.05,,N,,,Y,,Y,2018-07-01,Mark Castaneda
4.84,,Mark Castaneda,,2018-06-18,0.051,,N,grass removed,,Y,,Y,2018-07-01,Mark Castaneda
4.88,,Mark Castaneda,,2018-06-07,0.05,,N,,,Y,,Y,2018-06-01,Mark Castaneda
4.93,,Mark Castaneda,,2018-06-01,0.049,,N,,,Y,,Y,2018-06-01,Mark Castaneda
4.9400000000000004,,Mark Castaneda,,2018-06-18,0.052,,N,,,Y,,Y,2018-07-01,Mark Castaneda
4.96,,Mark Castaneda,,2018-05-31,0.047,,N,,,Y,,Y,2018-06-01,Mark Castaneda
4.97,,Mark Castaneda,,2018-05-31,0.048,,N,,,Y,,Y,2018-06-01,Mark Castaneda
5.03,5.03,Erica Walker,,2019-04-04,0.05,,Y,,,,,,,
5.04,5.04,Odessa Fung,,2019-02-05,0.052,,Y,,,,,,,
5.07,,Mark Castaneda,,2018-06-05,0.051,,Y,needles removed,,Y,,Y,2018-06-01,Mark Castaneda
5.19,,Mark Castaneda,,2018-06-01,0.047,,N,,,Y,,Y,2018-06-01,Mark Castaneda
5.24,5.24,Odessa Fung,,2019-03-12,0.05,,Y,,,,,,,
5.28,5.28,Erica Walker,,2018-11-02,0.05,,Y,,,,,,,
5.32,5.32,Erica Walker,,2019-04-19,0.052,,Y,plant material removed,,,,,,
5.38,,Mark Castaneda,,2018-06-01,0.054,,N,needles removed,,Y,,Y,2018-06-01,Mark Castaneda
5.39,5.39,Erica Walker,,2018-11-09,0.052,,N,,,,,,,
5.49,5.49,Erica Walker,,2019-04-05,0.05,,N,,,,,,,
5.51,,Adam Scott,,2018-04-20,0.036,,N,,,N,,Y,2018-06-01,Mark Castaneda
