poop_vial_id,field_poop_vial_id,weight_observer,sample_extracted_if_two_samples,date_weighed,mass_extracted_.g.,mass_estimated.,hair_in_feces.,extraction_notes_.contaminants_removed.,other_extraction_notes,extra_fecal_sample.,duplicate_sample.,extracted.,date_of_extraction,extraaction_observer
A0039,,,,2015-11-22,0.053,,N,,,,,,,
A0041,,,,2015-11-12,0.048,,N,,,,,,,
A0042,,,,,0.052,,,,,,,,,
A0046,,,,,0.052,,,,,,,,,
A0048,,,,2015-11-12,0.048,,N,bracts removed,,,,,,
A0052,,,,,0.054,,,,,,,,,
A0054,,,,2015-11-22,0.053,,N,,,,,,,
A0058,,,,2015-11-17,0.054,,N,,,,,,,
A0059,,,,2017-04-01,0.048,,N,,,,,,,
A0064,,,,,0.052,,,,,,,,,
A0066,,,,,0.051,,,,,,,,,
A0067,,,,,0.05,,,,,,,,,
A0070,,,,2017-04-01,0.043,,N,,,,,,,
A0071,,,,2015-11-12,0.047,,N,,,,,,,
A0072,,,,2017-04-01,0.048,,N,,,,,,,
A0083,,,,,0.051,,,,,,,,,
A0086,,,,2017-04-01,0.052,,N,,,,,,,
A0091,,,,2017-04-01,0.051,,N,,,,,,,
A0092,,,,2015-11-12,0.05,,N,,,,,,,
A0094,,,,2015-11-11,0.052,,N,,,,,,,
A0097,,,,,0.05,,,,,,,,,
A0098,,,,,0.053,,,,,,,,,
A0099,,,,,0.051,,,,,,,,,
A0108,,,,,0.053,,,,,,,,,
A0109,,,,,0.051,,,,,,,,,
A0111,,,,,0.05,,,,,,,,,
A0112,,,,2017-04-01,0.031,,N,,,,,,,
A0118,,,,2015-11-22,0.052,,N,,,,,,,
A0119,,,,2015-11-11,0.051,,N,,,,,,,
A0120,,,,,0.053,,,,,,,,,
A0121,,,,,0.052,,,,,,,,,
A0126,,,,2015-11-22,0.054,,N,,,,,,,
A0127,,,,2015-11-17,0.055,,Y,,,,,,,
A0128,,,,,0.055,,,,,,,,,
A0129,,,,2015-11-12,0.048,,N,,,,,,,
A0131,,,,,0.052,,,,,,,,,
A0135,,,,,0.052,,,,,,,,,
A0137,,,,2015-11-12,0.049,,N,,,,,,,
A0141,,,,,0.052,,,,,,,,,
A0142,,,,,0.056,,,,,,,,,
A0143,,,,,0.055,,,,,,,,,
A0145,,,,,0.055,,,,,,,,,
A0147,,,,,0.051,,,,,,,,,
A0151,,,,2015-11-17,0.052,,Y,,,,,,,
A0157,,,,,0.052,,,,,,,,,
A0160,,,,2015-11-22,0.046,,N,,,,,,,
A0162,,,,2015-11-18,0.049,,N,bract and grass removed,,,,,,
A0164,,,,,0.058,,,,,,,,,
A0168,,,,,0.056,,,,,,,,,
A0169,,,,,0.051,,,,,,,,,
A0174,,,,2015-11-11,0.055,,N,,,,,,,
A0184,,,,2015-11-24,0.048,,N,,,,,,,
A0192,,,,2017-04-01,0.051,,N,,,,,,,
A0193,,,,,0.055,,,,,,,,,
A0199,,,,2017-04-01,0.052,,N,,,,,,,
A0204,,,,2015-11-17,0.05,,Y,,,,,,,
A0212,,,,2015-11-19,0.052,,N,,,,,,,
A0217,,,,2017-04-01,0.03,,N,,,,,,,
A0218,,,,2015-11-18,0.051,,N,,,,,,,
A0221,,,,2015-11-22,0.048,,N,bracts removed,,,,,,
A0227,,,,2015-11-12,0.054,,N,,,,,,,
A0230,,,,2015-11-22,0.05,,N,,,,,,,
A0235,,,,2017-04-01,0.051,,N,bracts removed,,,,,,
A0238,,,,2015-11-22,0.037,,N,,,,,,,
A0243,,,,2017-04-01,0.051,,N,,,,,,,
A0244,,,,,0.053,,,,,,,,,
A0250,,,,2017-04-01,,,,,,,,,,
A0251,,,,2017-04-01,0.041,,N,,,,,,,
A0252,,,,,0.056,,,,,,,,,
A0253,,,,2015-11-19,0.038,,N,grass removed,,,,,,
A0256,,,,,0.055,,,,,,,,,
A0257,,,,2015-11-12,0.049,,N,,,,,,,
A0258,,,,,0.051,,,,,,,,,
A0261,,,,,0.051,,,,,,,,,
A0272,,,,2017-04-01,0.052,,N,,,,,,,
A0276,,,,,0.057,,,,,,,,,
A0278,,,,2017-04-01,0.052,,N,,,,,,,
A0282,,,,2015-11-17,0.047,,N,,,,,,,
A0283,,,,2017-04-01,0.049,,Y,bracts removed,,,,,,
A0287,,,,2015-11-12,0.048,,N,,,,,,,
A0289,,,,2015-11-12,0.053,,N,,,,,,,
A0291,,,,2017-04-01,0.051,,N,,,,,,,
A0293,,,,,0.054,,,,,,,,,
A0297,,,,2015-11-17,0.049,,N,,,,,,,
A0298,,,,,0.054,,,,,,,,,
A0299,,,,2015-11-12,0.051,,N,,,,,,,
A0301,,,,,0.053,,,,,,,,,
A0304,,,,,0.053,,,,,,,,,
A0308,,,,2015-11-11,0.05,,N,,,,,,,
A0310,,,,2017-04-01,0.042,,N,,,,,,,
A0313,,,,2015-11-12,0.048,,N,,,,,,,
A0317,,,,2015-11-11,0.052,,N,,,,,,,
A0322,,,,,0.056,,,,,,,,,
A0324,,,,,0.052,,,,,,,,,
A0328,,,,2015-11-12,0.051,,N,needles removed,,,,,,
A0330,,,,2017-04-01,0.048,,N,,,,,,,
A0331,,,,2015-11-12,0.048,,Y,,,,,,,
A0334,,,,,0.052,,,,,,,,,
A0335,,,,2017-04-01,0.051,,N,,,,,,,
A0343,,,,2015-11-17,0.048,,N,,,,,,,
A0344,,,,2015-11-12,0.047,,N,bract and grass removed,,,,,,
A0353,,,,,0.046,,,,,,,,,
A0355,,,,2017-04-01,0.005,,N,,,,,,,
A0360,,,,,0.052,,,,,,,,,
A0365,,,,2015-11-11,0.047,,Y,bracts removed,,,,,,
A0370,,,,,0.052,,,,,,,,,
A0373,,,,2017-04-01,0.052,,N,,,,,,,
A0374,,,,2015-11-17,0.046,,Y,grass removed,,,,,,
A0376,,,,,0.054,,,,,,,,,
A0377,,,,,0.049,,,,,,,,,
A0378,,,,2015-11-12,0.048,,N,,,,,,,
A0380,,,,2015-11-17,0.049,,N,,,,,,,
A0387,,,,2015-11-12,0.049,,N,,,,,,,
A0390,,,,2017-04-01,,,,,,,,,,
A0392,,,,,0.05,,,,,,,,,
A0393,,,,,0.051,,,,,,,,,
A0395,,,,,0.055,,,,,,,,,
A0396,,,,,0.054,,,,,,,,,
A0399,,,,,0.053,,,,,,,,,
A0400,,,,2017-04-01,0.039,,N,,,,,,,
A0402,,,,2015-11-12,0.051,,N,,,,,,,
A0403,,,,,0.051,,,,,,,,,
A0408,,,,2015-11-19,0.05,,N,,,,,,,
A0410,,,,,0.053,,,,,,,,,
A0411,,,,2015-11-11,0.049,,N,bract and grass removed,,,,,,
A0414,,,,,0.053,,,,,,,,,
A0415,,,,,0.052,,,,,,,,,
A0420,,,,2015-11-17,0.048,,N,,,,,,,
A0421,,,,,0.054,,,,,,,,,
A0423,,,,2015-11-11,0.048,,N,,,,,,,
A0424,,,,,0.053,,,,,,,,,
A0426,,,,2017-04-01,0.052,,N,bracts removed,,,,,,
A0427,,,,2015-11-11,0.05,,N,,,,,,,
A0430,,,,2015-11-17,0.05,,N,,,,,,,
A0431,,,,2017-04-01,,,,,,,,,,
A0435,,,,,0.056,,,,,,,,,
A0438,,,,2015-11-22,0.051,,N,,,,,,,
A0439,,,,2015-11-11,0.052,,N,leaves removed,,,,,,
A0441,,,,,0.053,,,,,,,,,
A0448,,,,,0.052,,,,,,,,,
A0449,,,,2015-11-12,0.049,,N,bracts removed,,,,,,
A0451,,,,,0.056,,,,,,,,,
A0454,,,,2015-11-11,0.048,,N,,,,,,,
A0460,,,,2015-11-11,0.048,,N,,,,,,,
A0463,,,,2015-11-22,0.051,,N,,,,,,,
A0464,,,,,0.052,,,,,,,,,
A0469,,,,,0.063,,,,,,,,,
A0476,,,,,0.052,,,,,,,,,
A0495,,,,,0.053,,,,,,,,,
A0497,,,,,0.055,,,,,,,,,
A0501,,,,2015-11-24,0.053,,N,,,,,,,
A0505,,,,,0.04,,,,,,,,,
A0508,,,,,0.054,,,,,,,,,
A0512,,,,2015-11-11,0.049,,N,,,,,,,
A0514,,,,2015-11-12,0.052,,N,,,,,,,
A0515,,,,2015-11-17,0.05,,N,,,,,,,
A0517,,,,2015-11-19,0.048,,N,"bark, bract removed",,,,,,
A0518,,,,,0.053,,,,,,,,,
A0521,,,,,0.054,,,,,,,,,
A0522,,,,,0.05,,,,,,,,,
A0523,,,,,0.058,,,,,,,,,
A0524,,,,,0.052,,,,,,,,,
A0528,,,,2015-11-17,0.049,,N,leaves removed,,,,,,
A0535,,,,,0.028,,,,,,,,,
A0538,,,,2015-11-11,0.054,,N,bracts removed,,,,,,
A0540,,,,2015-11-12,0.051,,N,,,,,,,
A0542,,,,,0.052,,,,,,,,,
A0545,,,,,0.052,,,,,,,,,
A0548,,,,,0.033,,,,,,,,,
A0549,,,,,0.055,,,,,,,,,
A0550,,,,,0.051,,,,,,,,,
A0555,,,,2015-11-12,0.028,,N,,,,,,,
A0556,,,,,0.05,,,,,,,,,
A0557,,,,2015-11-09,0.053,,N,grass removed,,,,,,
A0562,,,,,0.052,,,,,,,,,
A0564,,,,2015-11-12,0.053,,N,,,,,,,
A0565,,,,2015-11-12,0.028,,N,needles removed,,,,,,
A0566,,,,2015-11-17,0.05,,N,grass removed,,,,,,
A0571,,,,,0.052,,,,,,,,,
A0572,,,,2015-11-12,0.048,,Y,bracts removed,,,,,,
A0574,,,,2015-11-12,0.048,,N,bract and grass removed,,,,,,
A0579,,,,2015-11-12,0.052,,N,bract and needles removed,,,,,,
A0580,,,,,0.05,,,,,,,,,
A0583,,,,2015-11-19,0.022,,N,,,,,,,
A0584,,,,,0.043,,,,,,,,,
A0585,,,,2015-11-19,0.052,,Y,leaves removed,,,,,,
A0586,,,,,0.051,,,,,,,,,
A0587,,,,2015-11-17,0.049,,N,grass and leaves removed,,,,,,
A0588,,,,,0.048,,,,,,,,,
A0589,,,,,0.056,,,,,,,,,
A0592,,,,,0.053,,,,,,,,,
A0593,,,,,0.057,,,,,,,,,
A0595,,,,,0.05,,,,,,,,,
A0596,,,,,0.055,,,,,,,,,
A0599,,,,,0.052,,,,,,,,,
A0600,,,,2015-11-19,0.049,,N,bracts removed,,,,,,
A0601,,,,,0.056,,,,,,,,,
A0603,,,,,0.054,,,,,,,,,
A0604,,,,2015-11-19,0.05,,N,leaves removed,,,,,,
A0606,,,,2015-11-17,0.048,,N,,,,,,,
A0607,,,,,0.053,,,,,,,,,
A0611,,,,2015-11-17,0.052,,Y,leaves removed,,,,,,
A0612,,,,,0.05,,,,,,,,,
A0617,,,,,0.051,,,,,,,,,
A0619,,,,,0.05,,,,,,,,,
A0624,,,,,0.051,,,,,,,,,
A0626,,,,2015-11-11,0.05,,N,needles removed,,,,,,
A0629,,,,,0.052,,,,,,,,,
A0631,,,,2015-11-17,0.048,,N,,,,,,,
A0635,,,,,0.052,,,,,,,,,
A0639,,,,2015-11-17,0.05,,Y,bract and needles removed,,,,,,
A0640,,,,,0.053,,,,,,,,,
A0643,,,,2015-11-12,0.048,,N,,,,,,,
A0645,,,,,0.049,,,,,,,,,
A0648,,,,,0.014,,,,,,,,,
A0652,,,,2015-11-17,0.051,,N,,,,,,,
A0659,,,,,0.052,,,,,,,,,
A0660,,,,2015-11-22,0.051,,N,,,,,,,
A0661,,,,,0.055,,,,,,,,,
A0662,,,,,0.051,,,,,,,,,
A0664,,,,,0.051,,,,,,,,,
A0666,,,,,0.056,,,,,,,,,
A0670,,,,,0.05,,,,,,,,,
A0671,,,,2015-11-11,0.049,,N,bracts removed,,,,,,
A0672,,,,,0.051,,,,,,,,,
A0674,,,,2015-11-22,0.049,,N,needles removed,,,,,,
A0677,,,,,0.053,,,,,,,,,
A0678,,,,,0.051,,,,,,,,,
A0679,,,,,0.056,,,,,,,,,
A0680,,,,2015-11-11,0.053,,N,,,,,,,
A0682,,,,,0.053,,,,,,,,,
A0683,,,,2015-11-12,0.042,,Y,,,,,,,
A0684,,,,,0.053,,,,,,,,,
A0685,,,,,0.053,,,,,,,,,
A0690,,,,,0.053,,,,,,,,,
A0692,,,,,0.05,,,,,,,,,
A0693,,,,2015-11-17,0.048,,Y,,,,,,,
A0695,,,,,0.051,,,,,,,,,
A0700,,,,,0.05,,,,,,,,,
A0701,,,,2015-11-12,0.048,,N,,,,,,,
A0702,,,,,0.053,,,,,,,,,
A0703,,,,2015-11-11,0.05,,N,bracts removed,,,,,,
A0704,,,,2015-11-11,0.052,,Y,needles removed,,,,,,
A0705,,,,2015-11-19,0.041,,Y,,,,,,,
A0707,,,,,0.051,,,,,,,,,
A0711,,,,2015-11-12,0.049,,N,bracts removed,,,,,,
A0712,,,,,0.055,,,,,,,,,
A0715,,,,2015-11-17,0.054,,Y,bract and grass removed,,,,,,
A0716,,,,2015-11-22,0.047,,N,,,,,,,
A0717,,,,,0.05,,,,,,,,,
A0718,,,,,0.053,,,,,,,,,
A0722,,,,,0.051,,,,,,,,,
A0723,,,,,0.051,,,,,,,,,
A0724,,,,2015-11-19,0.051,,N,,,,,,,
A0725,,,,,0.05,,,,,,,,,
A0727,,,,2015-11-12,0.049,,N,,,,,,,
A0728,,,,,0.05,,,,,,,,,
A0730,,,,,0.052,,,,,,,,,
A0733,,,,2017-04-01,0.041,,N,,,,,,,
A0739,,,,,0.052,,,,,,,,,
A0741,,,,,0.046,,,,,,,,,
A0742,,,,,0.054,,,,,,,,,
A0745,,,,2015-11-17,0.05,,N,needles removed,,,,,,
A0746,,,,,0.05,,,,,,,,,
A0748,,,,,0.053,,,,,,,,,
A0749,,,,2015-11-03,0.049,,N,bracts removed,,Y,,,,
A0750,,,,,0.054,,,,,,,,,
A0752,,,,,0.059,,,,,,,,,
A0755,,,,,0.052,,,,,,,,,
A0758,,,,2015-11-23,0.047,,N,leaves removed,,,,,,
A0761,,,,,0.055,,,,,,,,,
A0762,,,,,0.059,,,,,,,,,
A0764,,,,,0.043,,,,,,,,,
A0768,,,,,0.053,,,,,,,,,
A0769,,,,2015-11-09,0.05,,N,bracts removed,,,,,,
A0773,,,,2015-11-12,0.048,,N,bracts removed,,,,,,
A0778,,,,,0.035,,,,,,,,,
A0780,,,,,0.054,,,,,,,,,
A0781,,,,2015-11-03,0.047,,N,,,,,,,
A0785,,,,,0.054,,,,,,,,,
A0788,,,,,0.052,,,,,,,,,
A0790,,,,2015-11-22,0.059,,N,,,,,,,
A0791,,,,,0.053,,,,,,,,,
A0792,,,,2015-11-11,0.052,,N,bracts removed,,,,,,
A0793,,,,,0.051,,,,,,,,,
A0794,,,,,0.054,,,,,,,,,
A0795,,,,,0.05,,,,,,,,,
A0796,,,,2015-11-22,0.054,,N,,,,,,,
A0800,,,,2015-11-11,0.048,,N,leaves removed,,,,,,
A0801,,,,,0.051,,,,,,,,,
A0805,,,,2015-11-11,0.051,,Y,bract and leaves removed,,,,,,
A0811,,,,,0.057,,,,,,,,,
A0812,,,,,0.057,,,,,,,,,
A0814,,,,2015-11-11,0.054,,N,,,,,,,
A0815,,,,2015-11-18,0.051,,N,leaves removed,,,,,,
A0817,,,,2015-11-11,0.051,,Y,bracts removed,,,,,,
A0826,,,,,0.055,,,,,,,,,
A0828,,,,2015-11-11,0.052,,Y,,,,,,,
A0831,,,,,0.052,,,,,,,,,
A0837,,,,,0.055,,,,,,,,,
A0838,,,,,0.05,,,,,,,,,
A0839,,,,2017-04-01,0.052,,Y,needles removed,,,,,,
A0840,,,,,0.057,,,,,,,,,
A0841,,,,2015-11-11,0.053,,N,leaves removed,,,,,,
A0843,,,,,0.018,,,,,,,,,
A0846,,,,,0.051,,,,,,,,,
A0847,,,,2017-04-01,0.013,,N,,,,,,,
A0849,,,,,0.052,,,,,,,,,
A0850,,,,,0.02,,,,,,,,,
A0851,,,,,0.06,,,,,,,,,
A0852,,,,,0.052,,,,,,,,,
A0853,,,,,0.054,,,,,,,,,
A0861,,,,,0.051,,,,,,,,,
A0862,,,,2015-11-19,0.047,,N,bract and needles removed,,,,,,
A0863,,,,2015-11-11,0.05,,N,leaves removed,,,,,,
A0864,,,,,0.05,,,,,,,,,
A0867,,,,2015-11-12,0.049,,N,grass removed,,,,,,
A0869,,,,,0.051,,,,,,,,,
A0870,,,,2015-11-17,0.051,,N,,,,,,,
A0871,,,,,0.053,,,,,,,,,
A0872,,,,,0.049,,,,,,,,,
A0873,,,,,0.052,,,,,,,,,
A0877,,,,,0.054,,,,,,,,,
A0880,,,,,0.052,,,,,,,,,
A0881,,,,,0.05,,,,,,,,,
A0882,,,,2015-11-17,0.047,,N,bract and grass removed,,,,,,
A0887,,,,,0.051,,,,,,,,,
A0888,,,,,0.053,,,,,,,,,
A0889,,,,,0.051,,,,,,,,,
A0891,,,,,0.051,,,,,,,,,
A0893,,,,,0.054,,,,,,,,,
A0894,,,,,0.05,,,,,,,,,
A0896,,,,2015-11-11,0.05,,N,grass removed,,,,,,
A0898,,,,,0.054,,,,,,,,,
A0901,,,,,0.058,,,,,,,,,
A0902,,,,,0.055,,,,,,,,,
A0905,,,,,0.052,,,,,,,,,
A0907,,,,,0.051,,,,,,,,,
A0908,,,,2015-11-11,0.051,,,,,,,,,
A0909,,,,2015-11-11,0.052,,N,leaves removed,,,,,,
A0910,,,,2015-11-11,0.05,,N,,,,,,,
A0912,,,,,0.054,,,,,,,,,
A0915,,,,,0.051,,,,,,,,,
A0916,,,,,0.052,,,,,,,,,
A0917,,,,,0.05,,,,,,,,,
A0921,,,,,0.055,,,,,,,,,
A0922,,,,2015-11-11,0.049,,Y,bract and leaves removed,,,,,,
A0923,,,,,0.053,,,,,,,,,
A0924,,,,2015-11-12,0.037,,N,leaves removed,,,,,,
A0925,,,,,0.05,,,,,,,,,
A0926,,,,,0.054,,,,,,,,,
A0928,,,,,0.055,,,,,,,,,
A0929,,,,,0.056,,,,,,,,,
A0931,,,,,0.052,,,,,,,,,
A0932,,,,,0.052,,,,,,,,,
A0934,,,,,0.055,,,,,,,,,
A0935,,,,,0.053,,,,,,,,,
A0936,,,,,0.052,,,,,,,,,
A0937,,,,2015-11-11,0.049,,N,grass removed,,,,,,
A0938,,,,,0.061,,,,,,,,,
A0940,,,,,0.051,,,,,,,,,
A0941,,,,,0.009,,,,,,,,,
A0942,,,,,0.051,,,,,,,,,
A0945,,,,,0.051,,,,,,,,,
A0946,,,,,0.052,,,,,,,,,
A0947,,,,,0.051,,,,,,,,,
A0953,,,,,0.05,,,,,,,,,
A0954,,,,,0.045,,,,,,,,,
A0958,,,,2015-11-11,0.046,,N,bract and grass removed,,,,,,
A0960,,,,,0.05,,,,,,,,,
A0962,,,,2015-11-12,0.024,,N,,,,,,,
A0963,,,,,0.052,,,,,,,,,
A0966,,,,,0.051,,,,,,,,,
A0969,,,,,0.054,,,,,,,,,
A0970,,,,2015-11-12,0.054,,N,needles removed,,,,,,
A0971,,,,,0.057,,,,,,,,,
A0972,,,,,0.053,,,,,,,,,
A0975,,,,,0.05,,,,,,,,,
A0981,,,,,0.053,,,,,,,,,
A0984,,,,,0.055,,,,,,,,,
A0989,,,,2015-11-11,0.051,,N,bracts removed,,,,,,
A0990,,,,,0.05,,,,,,,,,
A0991,,,,,0.052,,,,,,,,,
A0995,,,,2015-11-19,0.051,,N,,,,,,,
A0996,,,,,0.033,,,,,,,,,
A0999,,,,,0.056,,,,,,,,,
A1002,,,,,0.05,,,,,,,,,
A1003,,,,,0.053,,,,,,,,,
A1004,,,,,0.053,,,,,,,,,
A1005,,,,2015-11-18,0.053,,N,,,,,,,
A1006,,,,,0.058,,,,,,,,,
A1009,,,,,0.05,,,,,,,,,
A1012,,,,,0.05,,,,,,,,,
A1013,,,,2015-11-12,0.049,,N,leaves and needles removed,,,,,,
A1016,,,,2015-11-11,0.051,,N,bracts removed,,,,,,
A1022,,,,2015-11-11,0.05,,N,,,,,,,
A1028,,,,2015-11-12,0.05,,N,,,,,,,
A1037,,,,2015-11-11,0.055,,N,bract and needles removed,,,,,,
A1040,,,,,0.057,,,,,,,,,
A1045,,,,,0.051,,,,,,,,,
A1050,,,,2015-11-17,0.053,,N,bract and grass removed,,,,,,
A1051,,,,,0.05,,,,,,,,,
A1053,,,,2015-11-11,0.018,,N,bracts removed,,,,,,
A1055,,,,,0.052,,,,,,,,,
A1056,,,,,0.051,,,,,,,,,
A1057,,,,,0.05,,,,,,,,,
A1058,,,,,0.054,,,,,,,,,
A1059,,,,,0.051,,,,,,,,,
A1061,,,,,0.053,,,,,,,,,
A1064,,,,,0.055,,,,,,,,,
A1065,,,,2015-11-12,0.052,,N,bracts removed,,,,,,
A1066,,,,2015-11-17,0.049,,N,,,,,,,
A1069,,,,,0.052,,,,,,,,,
A1072,,,,,0.051,,,,,,,,,
A1077,,,,,0.055,,,,,,,,,
A1078,,,,2015-11-11,0.036,,N,bracts removed,,,,,,
A1080,,,,,0.052,,,,,,,,,
A1083,,,,,0.057,,,,,,,,,
A1087,,,,,0.055,,,,,,,,,
A1089,,,,,0.05,,,,,,,,,
A1091,,,,,0.055,,,,,,,,,
A1093,,,,2015-11-19,0.027,,N,,,,,,,
A1095,,,,,0.053,,,,,,,,,
A1097,,,,,0.051,,,,,,,,,
A1099,,,,,0.051,,,,,,,,,
A1101,,,,2015-11-12,0.048,,N,,,,,,,
A1103,,,,,0.053,,,,,,,,,
A1109,,,,2015-11-11,0.051,,N,grass removed,,,,,,
A1112,,,,,0.025,,,,,,,,,
A1113,,,,2015-11-11,0.049,,N,,,,,,,
A1114,,,,2015-11-17,0.05,,N,,,,,,,
A1117,,,,2015-11-12,0.048,,N,,,,,,,
A1120,,,,,0.052,,,,,,,,,
A1122,,,,,0.049,,,,,,,,,
A1124,,,,2015-11-11,0.048,,Y,bracts removed,,,,,,
A1126,,,,2015-11-12,0.048,,Y,grass removed,,,,,,
A1127,,,,2015-11-11,0.051,,N,bract and needles removed,,,,,,
A1128,,,,2015-11-12,0.048,,N,,,,,,,
A1141,,,,2015-11-12,0.047,,N,bract and leaves removed,,,,,,
A1142,,,,,0.052,,,,,,,,,
A1145,,,,,0.054,,,,,,,,,
A1147,,,,,0.055,,,,,,,,,
A1149,,,,2015-11-12,0.053,,N,,,,,,,
A1152,,,,2015-11-17,0.05,,N,,,,,,,
A1154,,,,,0.053,,,,,,,,,
A1156,,,,,0.057,,,,,,,,,
A1159,,,,,0.057,,,,,,,,,
A1161,,,,,0.052,,,,,,,,,
A1162,,,,,0.055,,,,,,,,,
A1164,,,,,0.028,,,,,,,,,
A1165,,,,,0.058,,,,,,,,,
A1168,,,,2015-11-18,0.05,,N,,,,,,,
A1169,,,,,0.028,,,,,,,,,
A1172,,,,,0.057,,,,,,,,,
A1173,,,,,0.053,,,,,,,,,
A1176,,,,,0.031,,,,,,,,,
A1180,,,,,0.054,,,,,,,,,
A1182,,,,2015-11-11,0.018,,N,bracts removed,,,,,,
A1189,,,,2015-11-17,0.05,,N,,,,,,,
A1191,,,,,0.054,,,,,,,,,
A1194,,,,2015-11-19,0.047,,N,needles removed,,,,,,
A1195,,,,,0.054,,,,,,,,,
A1197,,,,2015-11-19,0.044,,N,bracts removed,,,,,,
A1199,,,,,0.051,,,,,,,,,
A1202,,,,2015-11-12,0.05,,N,needles removed,,,,,,
A1205,,,,2015-11-12,0.048,,N,bracts removed,,,,,,
A1207,,,,2015-11-11,0.052,,N,bracts removed,,,,,,
A1208,,,,2015-11-19,0.049,,Y,,,,,,,
A1209,,,,,0.051,,,,,,,,,
A1210,,,,,0.054,,,,,,,,,
A1218,,,,2015-11-18,0.052,,N,bract and needles removed,,,,,,
A1221,,,,2015-11-11,0.051,,Y,bract and leaves removed,,,,,,
A1223,,,,,0.058,,,,,,,,,
A1226,,,,,0.053,,,,,,,,,
A1227,,,,2015-11-17,0.053,,N,needles removed,,,,,,
A1230,,,,,0.053,,,,,,,,,
A1232,,,,,0.053,,,,,,,,,
A1233,,,,2015-11-17,0.054,,N,bracts removed,,,,,,
A1236,,,,,0.051,,,,,,,,,
A1238,,,,,0.054,,,,,,,,,
A1245,,,,2015-11-19,0.05,,N,needles removed,,,,,,
A1248,,,,,0.055,,,,,,,,,
A1279,,,,,0.051,,,,,,,,,
A1282,,,,2015-11-17,0.051,,N,leaves removed,,,,,,
A1287,,,,,0.052,,,,,,,,,
A1288,,,,,0.052,,,,,,,,,
A1289,,,,2015-11-12,0.054,,Y,,,,,,,
A1300,,,,2015-11-12,0.053,,N,,,,,,,
A1320,,,,2015-11-11,0.052,,N,,,,,,,
A1326,,,,,0.05,,,,,,,,,
A1331,,,,2015-11-03,0.024,,N,,,,,,,
A1333,,,,,0.052,,,,,,,,,
A1343,,,,2015-11-11,0.054,,N,,,,,,,
A1352,,,,,0.051,,,,,,,,,
A1359,,,,,0.05,,,,,,,,,
A1366,,,,,0.052,,,,,,,,,
A1369,,,,,0.056,,,,,,,,,
A1371,,,,2015-11-11,0.054,,N,bracts removed,,,,,,
A1376,,,,2015-11-11,0.052,,N,bracts removed,,,,,,
A1386,,,,,0.058,,,,,,,,,
A1391,,,,2015-11-11,0.052,,N,bracts removed,,,,,,
A1395,,,,,0.053,,,,,,,,,
A1414,,,,2015-11-19,0.051,,N,bract and needles removed,,,,,,
A1417,,,,,0.013,,,,,,,,,
A1428,,,,2015-11-04,0.05,,Y,bracts removed,,,,,,
A1429,,,,2015-11-03,0.049,,N,bracts removed,,,,,,
A1436,,,,2015-11-04,0.054,,N,bracts removed,,,,,,
A1437,,,,,0.026,,,,,,,,,
A1438,,,,2015-11-03,0.054,,N,,,,,,,
A1442,,,,2015-11-10,0.051,,N,needles removed,,,,,,
A1448,,,,2015-11-04,0.052,,N,,,,,,,
A1451,,,,2015-11-10,0.048,,N,,,,,,,
A1454,,,,,0.053,,,,,,,,,
A1471,,,,2015-11-01,0.053,,N,,,,,,,
A1480,,,,2015-11-09,0.053,,Y,bracts removed,,,,,,
A1484,,,,2015-10-30,0.048,,N,,,,,,,
A1487,,,,2015-11-03,0.051,,N,,,,,,,
A1489,,,,2015-11-09,0.052,,N,,,,,,,
A1490,,,,2015-11-09,0.053,,N,bracts removed,,,,,,
A1497,,,,,0.057,,,,,,,,,
A1498,,,,2015-11-01,0.054,,N,grass removed,,,,,,
A1527,,,,2015-10-30,0.051,,N,,,,,,,
A1538,,,,2015-11-10,0.048,,N,needles removed,,,,,,
A1540,,,,2015-12-17,0.05,,Y,grass removed,,,,,,
A1602,,,,2015-10-30,0.054,,N,leaves removed,,,,,,
A1604,,,,,0.056,,,,,,,,,
A1606,,,,2015-11-12,0.052,,N,,,,,,,
A1611,,,,2015-11-17,0.048,,N,,,,,,,
A1647,,,,2015-11-17,0.051,,N,leaves and needles removed,,,,,,
A1656,,,,2015-11-12,0.049,,N,bract and needles removed,,,,,,
A1682,,,,2015-11-12,0.052,,N,,,,,,,
A1685,,,,2015-11-12,0.047,,Y,,,,,,,
A1695,,,,2015-11-19,0.052,,N,bracts removed,,,,,,
A1702,,,,2015-11-12,0.052,,N,,,,,,,
A1713,,,,2015-12-17,0.05,,Y,leaves removed,,,,,,
A1714,,,,,0.052,,,,,,,,,
A1715,,,,2015-11-17,0.052,,N,,,,,,,
A1729,,,,2015-11-19,0.047,,N,bract and leaves removed,,,,,,
A1735,,,,2015-11-19,0.05,,N,needles removed,,,,,,
A1761,,,,,0.01,,,,,,,,,
A1779,,,,2015-11-03,0.023,,Y,,,,,,,
A1780,,,,2015-11-05,0.048,,N,bract and grass removed,,,,,,
A1788,,,,2015-11-09,0.054,,N,,,,,,,
A1825,,,,2015-11-04,0.05,,N,,,,,,,
A1870,,,,2015-11-09,0.052,,Y,bracts removed,,,,,,
A1889,,,,2015-11-11,0.047,,N,bracts removed,,,,,,
A1904,,,,2015-11-03,0.053,,N,bracts removed,,,,,,
A1905,,,,2015-11-03,0.048,,N,bracts removed,,,,,,
