id,poop_id,extraction_date,extraction_observer_id,extraction_volume,weigh_date,weigh_observer_id,hair,contaminants_removed,mass_g,extra,box_id
1639,A0328,NA,NA,1000,2015-11-12,NA,FALSE,needles removed,0.051,NA,47
1640,A0330,NA,NA,1000,2017-04-01,NA,FALSE,NA,0.048,NA,NA
1641,A0331,NA,NA,1000,2015-11-12,NA,TRUE,NA,0.048,NA,47
1642,A0334,NA,NA,1000,NA,NA,NA,NA,0.052,NA,27
1643,A0335,NA,NA,1000,2017-04-01,NA,FALSE,NA,0.051,NA,NA
1644,A0343,NA,NA,1000,2015-11-17,NA,FALSE,NA,0.048,NA,47
1645,A0344,NA,NA,1000,2015-11-12,NA,FALSE,bract and grass removed,0.047,NA,NA
1646,A0353,NA,NA,1000,NA,NA,NA,NA,0.046,NA,27
1647,A0355,NA,NA,1000,2017-04-01,NA,FALSE,NA,0.005,NA,NA
1648,A0360,NA,NA,1000,NA,NA,NA,NA,0.052,NA,27
1649,A0365,NA,NA,1000,2015-11-11,NA,TRUE,bracts removed,0.047,NA,47
1650,A0370,NA,NA,1000,NA,NA,NA,NA,0.052,NA,1
1651,A0373,NA,NA,1000,2017-04-01,NA,FALSE,NA,0.052,NA,NA
1652,A0374,NA,NA,1000,2015-11-17,NA,TRUE,grass removed,0.046,NA,47
1653,A0376,NA,NA,1000,NA,NA,NA,NA,0.054,NA,NA
1654,A0377,NA,NA,1000,NA,NA,NA,NA,0.049,NA,8
1655,A0378,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.048,NA,20
1656,A0380,NA,NA,1000,2015-11-17,NA,FALSE,NA,0.049,NA,47
1657,A0387,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.049,NA,47
1658,A0390,NA,NA,1000,2017-04-01,NA,NA,NA,NA,NA,NA
1659,A0392,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
1660,A0393,NA,NA,1000,NA,NA,NA,NA,0.051,NA,2
1661,A0395,NA,NA,1000,NA,NA,NA,NA,0.055,NA,NA
1662,A0396,NA,NA,1000,NA,NA,NA,NA,0.054,NA,NA
1663,A0399,NA,NA,1000,NA,NA,NA,NA,0.053,NA,NA
1664,A0400,NA,NA,1000,2017-04-01,NA,FALSE,NA,0.039,NA,NA
1665,A0402,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.051,NA,47
1666,A0403,NA,NA,1000,NA,NA,NA,NA,0.051,NA,9
