poop_id,lab,observer_id,date,dilution,volume_used,concentration,cv,plate_id,is_rerun,hormone,protocol_id
B4486,Boonstra,BJD,2011-05-30,9,10,12.959,3.5,T.2011.42,NA,Testosterone,TB910
B4488,Boonstra,BJD,2011-06-01,9,10,6.813,0,T.2011.47,NA,Testosterone,TB910
B4494,Boonstra,BJD,2011-05-26,9,10,20.371,8.1,T.2011.40,NA,Testosterone,TB910
B4495,Boonstra,BJD,2011-05-21,9,10,9.25,3.8,T.2011.33,NA,Testosterone,TB910
B4497,Boonstra,BJD,2011-05-30,9,10,9.129,5.1,T.2011.43,NA,Testosterone,TB910
B4501,Boonstra,BJD,2011-06-01,9,10,16.619,5.1,T.2011.47,NA,Testosterone,TB910
B4503,Boonstra,BJD,2011-05-30,9,10,41.458,3.5,T.2011.42,NA,Testosterone,TB910
B4506,Boonstra,BJD,2011-06-01,9,10,9.51,2.1,T.2011.47,NA,Testosterone,TB910
B4516,Boonstra,BJD,2011-06-01,9,10,7.093,0,T.2011.46,NA,Testosterone,TB910
B4529,Boonstra,BJD,2011-05-29,9,10,34.454,7.4,T.2011.41,NA,Testosterone,TB910
B4532,Boonstra,BJD,2011-05-26,9,10,27.511,3.2,T.2011.39,NA,Testosterone,TB910
B4543,Boonstra,BJD,2011-05-30,9,10,53.58,9.6,T.2011.42,NA,Testosterone,TB910
B4545,Boonstra,BJD,2011-05-31,9,10,58.879,18.7,T.2011.45,NA,Testosterone,TB910
B4547,Boonstra,BJD,2011-05-25,9,10,27.53,5.1,T.2011.35,NA,Testosterone,TB910
B4580,Boonstra,BJD,2011-05-30,9,10,10.848,0,T.2011.43,NA,Testosterone,TB910
B4583,Boonstra,BJD,2011-05-31,9,10,7.076,3.8,T.2011.44,NA,Testosterone,TB910
B4597,Boonstra,BJD,2011-05-30,9,10,25.478,2.6,T.2011.43,NA,Testosterone,TB910
B4598,Boonstra,BJD,2011-05-21,9,10,15.867,4.4,T.2011.31,NA,Testosterone,TB910
C0004,Boonstra,BJD,2011-05-21,9,10,22.991,6,T.2011.33,NA,Testosterone,TB910
C0005,Boonstra,BJD,2011-05-25,9,10,33.863,10.9,T.2011.38,NA,Testosterone,TB910
C0006,Boonstra,BJD,2011-05-25,9,10,16.429,8.4,T.2011.36,NA,Testosterone,TB910
C0011,Boonstra,BJD,2011-05-25,9,10,55.395,9.8,T.2011.37,NA,Testosterone,TB910
C0012,Boonstra,BJD,2011-05-26,9,10,24.93,4.3,T.2011.40,NA,Testosterone,TB910
C0013,Boonstra,BJD,2011-05-21,9,10,35.959,0.3,T.2011.29,NA,Testosterone,TB910
C0015,Boonstra,BJD,2011-05-25,9,10,109.026,14.7,T.2011.37,NA,Testosterone,TB910
C0026,Boonstra,BJD,2011-05-21,9,10,11.001,3.2,T.2011.31,NA,Testosterone,TB910
C0028,Boonstra,BJD,NA,9,10,27.427,19.1,T.2011.46,NA,Testosterone,TB910
C0029,Boonstra,BJD,2011-05-21,9,10,17.436,17,T.2011.33,NA,Testosterone,TB910
C0030,Boonstra,BJD,2011-05-25,9,10,19.717,9.6,T.2011.38,NA,Testosterone,TB910
C0037,Boonstra,BJD,2011-05-25,9,10,14.3,2.4,T.2011.35,NA,Testosterone,TB910
C0039,Boonstra,BJD,2011-05-21,9,10,47.346,0,T.2011.29,NA,Testosterone,TB910
C0041,Boonstra,BJD,2011-05-21,9,10,33.21,6,T.2011.33,NA,Testosterone,TB910
C0044,Boonstra,BJD,2011-05-31,9,10,20.405,17.3,T.2011.45,NA,Testosterone,TB910
C0045,Boonstra,BJD,2011-05-21,9,10,13.519,5.8,T.2011.31,NA,Testosterone,TB910
C0047,Boonstra,BJD,2011-06-01,9,10,18.327,1.4,T.2011.48,NA,Testosterone,TB910
C0048,Boonstra,BJD,2011-05-21,9,10,14.988,3.8,T.2011.29,NA,Testosterone,TB910
C0050,Boonstra,BJD,2011-05-20,9,10,10.942,2.9,T.2011.28,NA,Testosterone,TB910
C0054,Boonstra,BJD,2011-05-25,9,10,35.812,17.9,T.2011.37,NA,Testosterone,TB910
C0056,Boonstra,BJD,2011-05-25,9,10,23.554,10.9,T.2011.38,NA,Testosterone,TB910
C0062,Boonstra,BJD,2011-05-21,9,10,13.631,2.2,T.2011.29,NA,Testosterone,TB910
C0068,Boonstra,BJD,2011-06-01,9,10,19.317,0,T.2011.48,NA,Testosterone,TB910
C0073,Boonstra,BJD,2011-05-25,9,10,12.53,5.2,T.2011.36,NA,Testosterone,TB910
C0074,Boonstra,BJD,2011-05-21,9,10,18.47,7.8,T.2011.33,NA,Testosterone,TB910
C0075,Boonstra,BJD,2011-05-21,9,10,20.589,7.4,T.2011.29,NA,Testosterone,TB910
